Sr. No.,Mpp/Mcc Name,Milk Qty,Latitude,Longitude,Milk Dispatched Locations
49,Wadoda,91.6825,20.899513,76.279708,Mcc Buldhana
50,Wadaner,201.26124999999996,20.840333,76.321766,Mcc Buldhana
51,Kati,112.97,20.830298,76.278711,Mcc Buldhana
52,Vitali,21.005000000000003,20.866067,76.292493,Mcc Buldhana
53,Waghud,233.10500000000002,20.87066,76.264703,Mcc Buldhana
54,Rangaon,41.23874999999999,20.935674,76.158421,Mcc Buldhana
55,Shivni,44.99625,20.888198,76.202825,Mcc Buldhana
56,Wiwra,105.25749999999998,20.960794,76.157691,Mcc Buldhana
57,Dasarkhed,734.75,20.96549,76.181569,Mcc Buldhana
58,Waghola,52.8925,20.98491,76.19559,Mcc Buldhana
59,Wajirabad,36.10999999999999,20.893087,76.153341,Mcc Buldhana
60,Khamkhed,62.839999999999996,20.90144,76.130974,Mcc Buldhana
61,Lonwadi,108.6975,20.860684,76.16515,Mcc Buldhana
62,Jambhuldhaba,326.83250000000004,20.873082,76.12964,Mcc Buldhana
63,Harankhed,114.75374999999998,20.849094,76.081794,Mcc Buldhana
64,Wadji,196.6375,20.833522,76.074181,Mcc Buldhana
65,Morkhed,24.096249999999994,20.815937,76.16189,Mcc Buldhana
66,Shemba,136.54375,20.708293,76.280183,Mcc Buldhana
67,Takarkhed,94.07374999999999,20.731182,76.282048,Mcc Buldhana
68,Talkhed,72.96374999999999,20.74375,76.228689,Mcc Buldhana
69,Dolkhed,66.4425,20.745694,76.27395,Mcc Buldhana
70,Nimkhed,91.75999999999999,20.75586,76.276245,Mcc Buldhana
71,Pimpalkhuta Bk,145.90124999999995,20.773084,76.276335,Mcc Buldhana
72,Bhadgani,204.55625,20.779351,76.24421,Mcc Buldhana
73,Ghirni,52.23125,20.845919,76.237492,Mcc Buldhana
74,Dahid Bmc,2600.0,20.49881123,76.06231795,Mcc Buldhana
75,Madh,505.0,20.516955,75.98903833,Bmc Dahid 
76,Dahid Kh,141.01600000000002,20.481402,76.037355,Bmc Dahid 
77,Padali,241.42,20.520899,76.053351,Bmc Dahid 
78,Januna,245.10399999999998,20.504229,75.949878,Bmc Dahid 
79,Ambhoda,278.56399999999996,20.478147,76.088112,Bmc Dahid 
80,Hatedi Bk,69.98400000000001,20.470429,76.112968,Bmc Dahid 
81,Kesapur,101.728,20.433816,76.117066,Bmc Dahid 
82,Gummi,120.98400000000001,20.48319,75.974696,Bmc Dahid 
83,Deulghat,129.62,20.516464,76.114908,Bmc Dahid 
84,Sakhali Kh,70.28799999999998,20.454371,76.14642,Bmc Dahid 
85,Tandulwadi,70.28799999999998,20.485082,76.125068,Bmc Dahid 
86,Dhad Bmc,2100.0,20.38034335,75.99366445,Bmc Dhad
87,Jamathi,217.13600000000002,20.447111,76.01368,Bmc Dhad
88,Satgaon,380.46000000000004,20.357444,75.971426,Bmc Dhad
89,Jamb,183.18800000000002,20.8316341,75.947991,Bmc Dhad
90,Masrul,133.856,20.439312,75.955201,Bmc Dhad
91,Chandol,586.432,20.330062,76.014835,Bmc Dhad
92,Kulamkhed,649.2560000000001,20.36464,75.9476695,Bmc Dhad
93,Girad,107.56645161290324,20.65988,79.11551,Mcc Buttibori
94,Sirsi,161.5790322580645,20.677531,79.162989,Mcc Buttibori
95,Bothali,152.2509677419355,20.687449,79.139145,Mcc Buttibori
96,Pipra,292.4506451612903,20.734416,79.087183,Mcc Buttibori
97,Sawangi Kh,232.52870967741933,20.75717,79.077901,Mcc Buttibori
98,Bela,541.971935483871,20.77964,79.027972,Mcc Buttibori
99,Jaitapur,53.486451612903224,20.764955,78.988958,Mcc Buttibori
100,Daheli,239.95870967741934,20.785221,78.999152,Mcc Buttibori
101,Rama,229.33161290322582,20.83421,79.005378,Mcc Buttibori
102,Alagondi,149.42451612903224,20.840151,78.952335,Mcc Buttibori
103,Sonegaon Bori,562.003870967742,20.880174,78.999094,Mcc Buttibori
104,Makardhokda,220.20000000000002,20.871737,79.21485,Mcc Buttibori
105,Khapri,46.50096774193548,20.908205,79.141818,Mcc Buttibori
106,Chargaon,408.7696774193549,20.857464,79.084099,Mcc Buttibori
107,Kolar,155.80709677419352,20.911367,79.036292,Mcc Buttibori
108,Butibori,140.63870967741937,20.925849,79.009572,Mcc Buttibori
109,Ajda,170.53451612903226,20.659518,78.939335,Mcc Buttibori
110,Shedgaon Navin,273.33612903225804,20.66033,78.916367,Mcc Buttibori
111,Shedgaon,204.9216129032258,20.647951,78.9017,Mcc Buttibori
113,Samudrapur,167.88774193548386,20.64008,78.966982,Mcc Buttibori
114,Waigaon Gond,231.54612903225808,20.714825,79.014501,Mcc Buttibori
115,Ramnagar,200.52451612903226,20.725995,78.968086,Mcc Buttibori
116,Kandhali,328.6506451612903,20.739667,78.925059,Mcc Buttibori
117,Ashta,127.93354838709678,20.783588,78.977246,Mcc Buttibori
118,Gumgaon Kotewada,241.51774193548385,21.017289,78.996601,Mcc Buttibori
119,Charmandal,106.88967741935484,20.776676,78.767279,Mcc Buttibori
120,Junona,173.2225806451613,20.775589,78.790496,Mcc Buttibori
121,Bondsula,145.88935483870966,20.758368,78.817192,Mcc Buttibori
122,Tuljapur Rly,376.2267741935484,20.789706,78.826881,Mcc Buttibori
123,Dahegaon Gosai,650.4332258064517,20.801755,78.804353,Mcc Buttibori
124,Helodi,159.51387096774195,20.804367,78.844603,Mcc Buttibori
125,Palasgaon,192.66612903225806,20.781853,78.868667,Mcc Buttibori
126,Pahelanpur,104.67806451612901,20.772583,78.838856,Mcc Buttibori
127,Sindi Rly,166.28290322580648,20.806477,78.887712,Mcc Buttibori
128,Kuchadi,295.3867741935484,20.069574,79.213554,Mcc Buttibori
129,Titur,93.33290322580645,21.067974,79.260204,Mcc Buttibori
130,Dongargaon A,349.16129032258067,21.01281,79.230567,Mcc Buttibori
131,Haladgaon,148.99709677419355,20.959253,79.195883,Mcc Buttibori
132,Pachgaon,323.2554838709677,21.021611,79.164128,Mcc Buttibori
133,Vihirgaon,112.89032258064516,21.087892,79.162442,Mcc Buttibori
134,Khapri Rly,46.50096774193548,21.052623,79.058928,Mcc Buttibori
135,Dongargaon,496.57096774193553,20.988599,79.030682,Mcc Buttibori
136,Wagdara,100.65387096774194,21.001657,79.011668,Mcc Buttibori
137,Datala,167.38032258064516,20.985189,78.964606,Mcc Buttibori
138,Katangdara,120.48903225806451,20.988159,78.899515,Mcc Buttibori
139,Wadgaon Kh,108.10483870967742,20.857208,78.675507,Mcc Buttibori
140,Antargaon,136.02774193548387,20.857446,78.653011,Mcc Buttibori
141,Takali,482.22064516129035,20.879591,78.631018,Mcc Buttibori
142,Hiwara,135.4438709677419,20.846833,78.64336,Mcc Buttibori
143,Giroli,515.7345161290323,20.849711,78.621241,Mcc Buttibori
144,Kshirsamudra,70.80387096774194,20.824424,78.613451,Mcc Buttibori
145,Surgaon,284.7238709677419,20.820802,78.65304,Mcc Buttibori
146,Rehaki,483.78419354838707,20.826724,78.673933,Mcc Buttibori
147,Seloo,732.7890322580645,20.838618,78.703659,Mcc Buttibori
148,Mahabala,298.68774193548387,20.831807,78.761178,Mcc Buttibori
149,Bavapur,102.0,20.698278,78.834576,Mcc Buttibori
150,Ashta War,167.13645161290322,20.70335,78.808638,Mcc Buttibori
151,Deulgaon,453.06387096774193,20.733598,78.79122,Mcc Buttibori
152,Chanki,131.40483870967742,20.739036,78.773371,Mcc Buttibori
153,Tuljapur,376.2267741935484,20.743815,78.729777,Mcc Buttibori
154,Wahitpur,206.81967741935483,20.776095,78.696344,Mcc Buttibori
155,Sukali Station,177.4348387096774,20.792652,78.722541,Mcc Buttibori
156,Dhanoli Meghe,247.69290322580645,20.826219,78.714389,Mcc Buttibori
157,Ghorad,341.2493548387097,20.850986,78.707214,Mcc Buttibori
158,Mohi,217.42096774193547,20.896244,78.714951,Mcc Buttibori
